lon,lat,shortdescription,equipmentno
-73.96460245687166,40.7916187976701,"('Street to uptown platform', 'Street to downtown platform', 'Street to mezzanine', 'Mezzanine to downtown platform')","('EL146', 'EL145', 'EL248', 'EL247')"
-73.96608964413245,40.7646180944237,"('Street to mezzanine', 'Mezzanine to platforms', 'Mezzanine to platforms', 'Mezzanine to platforms', 'Mezzanine to platforms', 'Mezzanine to platforms', 'Street to mezzanine')","('EL444', 'EL443', 'EL442', 'EL441', 'EL440', 'EL402', 'EL401')"
-73.96882849429672,40.7858230467855,"('Mezzanine to platform', 'Street to mezzanine', 'Street to uptown 6', 'Street to mezzanine', 'Mezzanine to platform')","('EL746', 'EL745', 'EL273', 'EL250', 'EL249')"
-73.96907237490204,40.7574683078286,"('Mezzanine to E/M platform',)","('EL245',)"
-73.97192000069982,40.7571069998931,"('Underpass to downtown 6', 'Mezzanine to downtown 6 underpass', 'Street to mezzanine')","('EL202', 'EL201', 'EL203X')"
-73.97232299915696,40.7939190012147,"('Street to uptown platform', 'Street to downtown platform', 'Street to mezzanine', 'Mezzanine to downtown platform')","('EL146', 'EL145', 'EL248', 'EL247')"
-73.9723553085244,40.60325840512826,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform')","('EL761', 'EL760')"
-73.9752569782215,40.6207316231678,"('Mezzanine to Coney Island-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL378', 'EL377', 'EL376')"
-73.97537499833149,40.6871189995077,"('2/3 platform to mezzanine ', 'Brooklyn-bound J/Z to A/C platform', 'Brooklyn-bound J/Z to A/C platform', 'Street to 2/3 mezzanine', 'Street to Broad St-bound J/Z', 'Broad St-bound J/Z to A/C platform', 'Mezzanine to uptown 4/5 & Brooklyn-bound J/Z', 'Street to downtown 4/5 & mezzanines', 'Street to uptown 4/5 & mezzanine', 'Mezzanine to downtown 4/5', 'Street to uptown 4/5')","('EL732', 'EL721', 'EL720', 'EL723', 'EL722', 'EL719', 'EL716', 'EL728X', 'EL717X', 'EL729X', 'EL718X')"
-73.97604100111508,40.75143100028686,"('Street to mezzanine', 'Mezzanine to uptown 4/5/6', 'Mezzanine to downtown 4/5/6', 'Mezzanine to Shuttle platform', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to 7 platform')","('EL204', 'EL206', 'EL205', 'EL607X', 'EL608X', 'EL296', 'EL244')"
-73.97621799859327,40.7886440007389,"('Mezzanine to platform', 'Street to mezzanine', 'Street to uptown 6', 'Street to mezzanine', 'Mezzanine to platform')","('EL746', 'EL745', 'EL273', 'EL250', 'EL249')"
-73.976336575218,40.7755193972925,"('Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to platform', 'Street to downtown platform', 'Street to uptown platform')","('EL267', 'EL266', 'EL265', 'EL264', 'EL262', 'EL259', 'EL240', 'EL239')"
-73.9767132992584,40.7518074298163,"('Street to mezzanine', 'Mezzanine to uptown 4/5/6', 'Mezzanine to downtown 4/5/6', 'Mezzanine to Shuttle platform', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to 7 platform')","('EL204', 'EL206', 'EL205', 'EL607X', 'EL608X', 'EL296', 'EL244')"
-73.97736800085171,40.7640850008171,"('Street to mezzanine', 'Mezzanine to northbound platform', 'Mezzanine to southbound platform')","('EL604', 'EL283', 'EL282')"
-73.97918899989101,40.7527686667421,"('Street to mezzanine', 'Mezzanine to uptown 4/5/6', 'Mezzanine to downtown 4/5/6', 'Mezzanine to Shuttle platform', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to 7 platform')","('EL204', 'EL206', 'EL205', 'EL607X', 'EL608X', 'EL296', 'EL244')"
-73.97972116229084,40.6442720001299,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform', 'Mezzanine to Brooklyn-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL321', 'EL320', 'EL375', 'EL374', 'EL373')"
-73.98037300229343,40.6040589998049,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform')","('EL761', 'EL760')"
-73.98072973372128,40.7645655250182,"('Street to mezzanine', 'Mezzanine to northbound platform', 'Mezzanine to southbound platform')","('EL604', 'EL283', 'EL282')"
-73.9812359981396,40.5772810000675,"('Overpass to D platform', 'N platform to D overpass')","('EL702', 'EL701')"
-73.98133100227702,40.7586410015981,"('Mezzanine to downtown platform', 'Mezzanine to uptown platform', 'Street to mezzanine')","('EL236', 'EL235', 'EL234')"
